day,symbol,volume,total_volume_daily
2026-03-08,JPMon,58127.53,14169737.772765834
2026-03-08,KOon,57302.47,14169737.772765834
2026-03-08,LINon,58124.75,14169737.772765834
2026-03-08,LMTon,56421.62405065585,14169737.772765834
2026-03-08,LRCXon,54965.95,14169737.772765834
2026-03-08,MARAon,47401.19,14169737.772765834
2026-03-08,MPon,54472.37,14169737.772765834
2026-03-08,MRKon,56657.24,14169737.772765834
2026-03-08,MRVLon,61261.59,14169737.772765834
2026-03-08,MUon,57311.01,14169737.772765834
2026-03-08,NKEon,55751.25,14169737.772765834
2026-03-08,NOWon,55750.07,14169737.772765834
2026-03-08,NVOon,54264.52,14169737.772765834
2026-03-08,OKLOon,55589.94,14169737.772765834
2026-03-08,ONDSon,57038.103,14169737.772765834
2026-03-08,ORCLon,54214.99,14169737.772765834
2026-03-08,OXYon,60918.79,14169737.772765834
2026-03-08,PALLon,60355.26,14169737.772765834
2026-03-08,PBRon,65094.95,14169737.772765834
2026-03-08,PDDon,56737.83,14169737.772765834
2026-03-08,PSQon,56692.71,14169737.772765834
2026-03-08,PYPLon,56323.16,14169737.772765834
2026-03-08,QCOMon,54661.35,14169737.772765834
2026-03-08,RDDTon,57523.13,14169737.772765834
2026-03-08,RIOTon,55216.21,14169737.772765834
2026-03-08,RTXon,55656.93,14169737.772765834
2026-03-08,SBETon,57608.12114143838,14169737.772765834
2026-03-08,SGOVon,54985.18,14169737.772765834
2026-03-08,SHOPon,56044.04,14169737.772765834
2026-03-08,SLVon,804749.0267041877,14169737.772765834
2026-03-08,SMCIon,52470.62,14169737.772765834
2026-03-08,SNOWon,55721.57,14169737.772765834
2026-03-08,SOFIon,56713.75,14169737.772765834
2026-03-08,SOUNon,48493.72,14169737.772765834
2026-03-08,SOon,64451.3985,14169737.772765834
2026-03-08,SPOTon,56110.89,14169737.772765834
2026-03-08,TLTon,58043.03937791558,14169737.772765834
2026-03-08,TQQQon,56904.3,14169737.772765834
2026-03-08,TSMon,56239.43,14169737.772765834
2026-03-08,Ton,3328308.332,14169737.772765834
2026-03-08,UBERon,54366.34,14169737.772765834
2026-03-08,USFRon,56975.87,14169737.772765834
2026-03-08,VRTon,52367.48,14169737.772765834
2026-03-08,VZon,57326.53,14169737.772765834
2026-03-08,Von,56010.88,14169737.772765834
2026-03-08,WMTon,57055.77,14169737.772765834
2026-03-08,XOMon,63608.04,14169737.772765834
2026-03-08,USOon,195.745374077062,14169737.772765834
2026-03-08,USDon,202.00831968988803,14169737.772765834
2026-03-08,CRCLon,1145128.969379676,14169737.772765834
2026-03-08,TSLAon,1389202.8355795636,14169737.772765834
2026-03-08,AAPLon,77244.82676,14169737.772765834
2026-03-08,ABTon,80822.85207,14169737.772765834
2026-03-08,ACNon,84939.7758,14169737.772765834
2026-03-08,AMZNon,300457.9242186135,14169737.772765834
2026-03-08,AVGOon,109392.61112,14169737.772765834
2026-03-08,BABAon,88955.42743,14169737.772765834
2026-03-08,COINon,109950.05262999999,14169737.772765834
2026-03-08,CSCOon,79071.87292,14169737.772765834
2026-03-08,GOOGLon,91529.34698347338,14169737.772765834
2026-03-08,HOODon,113862.60455,14169737.772765834
2026-03-08,LLYon,80304.95079,14169737.772765834
2026-03-08,MAon,80026.10907,14169737.772765834
2026-03-08,MCDon,83922.26451000001,14169737.772765834
2026-03-08,METAon,131021.57803,14169737.772765834
2026-03-08,MSFTon,93014.05412,14169737.772765834
2026-03-08,MSTRon,188211.75580764993,14169737.772765834
2026-03-08,NFLXon,114326.631808,14169737.772765834
2026-03-08,NVDAon,102541.69791441486,14169737.772765834
2026-03-08,PEPon,74811.70036999999,14169737.772765834
2026-03-08,PLTRon,149338.56257,14169737.772765834
2026-03-08,QQQon,134238.4975314568,14169737.772765834
2026-03-08,SPYon,141477.69189979395,14169737.772765834
2026-03-08,UNHon,99317.31975,14169737.772765834
2026-03-08,AALon,55193.22,14169737.772765834
2026-03-08,ABBVon,56863.53,14169737.772765834
2026-03-08,ABNBon,54023.24,14169737.772765834
2026-03-08,ACHRon,53287.953,14169737.772765834
2026-03-08,ADBEon,54640.01,14169737.772765834
2026-03-08,AGGon,56716.37,14169737.772765834
2026-03-08,AMATon,54927.12,14169737.772765834
2026-03-08,AMDon,55943.73,14169737.772765834
2026-03-08,ARMon,55687.23,14169737.772765834
2026-03-08,ASMLon,58314.53,14169737.772765834
2026-03-08,BACon,57410.9,14169737.772765834
2026-03-08,BAon,53717.07,14169737.772765834
2026-03-08,BBAIon,55865.623,14169737.772765834
